Company,Industry,Headquarters,Reviews,Jobs,Salaries,Benefits,Interviews
Equitas Small Finance Bank,Banking, Chennai,(6.2k),1.3k,12.1k,420,452
Optum Global Solutions,IT Services & Consulting, Hyderabad / Secunderabad,(6.5k),103,41.4k,772,652
ITC,FMCG, Bangalore / Bengaluru,(6k),82,22.3k,704,585
Sun Pharmaceutical Industries,Pharma, Vadodara,(6.1k),232,21.5k,658,427
KPMG India,Management Consulting, Bangalore / Bengaluru,(6k),1.4k,54.8k,801,826
Ekart Logistics,n/a,Bangalore / Bengaluru,(5.8k),--,13.8k,450,331
Axis Max Life Insurance,Insurance, New Delhi,(5.8k),251,17.9k,527,331
FIS,IT Services & Consulting, Pune,(5.8k),240,37.3k,780,495
Megha Engineering & Infrastructures,Engineering & Construction, Hyderabad / Secunderabad,(5.6k),24,16.6k,581,473
HCL Group,IT Services & Consulting, Chennai,(5.7k),3,45.3k,716,472
Indian Army,Defence & Aerospace, New Delhi,(5.5k),--,9.3k,772,159
Oracle,Software Product, Bangalore / Bengaluru,(5.5k),1.7k,56.6k,660,879
IIFL Finance,NBFC, Mumbai,(5.5k),12,13.8k,444,266
Ujjivan Small Finance Bank,Banking, Bangalore / Bengaluru,(5.8k),57,12.2k,604,246
Tata Projects,Engineering & Construction, Mumbai,(5.6k),14,20.3k,591,475
eClerx,IT Services & Consulting, Pune,(5.3k),289,29.3k,613,554
Omega Healthcare,BPO, Chennai,(5.3k),273,23.3k,428,468
HSBC Group,Financial Services, Bangalore / Bengaluru,(5.2k),221,37k,1.2k,499
Udaan,Internet, Bangalore / Bengaluru,(5.2k),10,16.3k,793,341
Muthoot Finance,NBFC, Bangalore / Bengaluru,(5.3k),148,11.8k,345,277
Aurobindo Pharma,Pharma, Hyderabad / Secunderabad,(5.1k),18,20.9k,514,253
Siemens,Industrial Automation, Bangalore / Bengaluru,(5k),1.2k,30.1k,698,444
Shapoorji Pallonji Group,Engineering & Construction, Mumbai,(5k),36,14.6k,665,352
Bajaj Allianz Life Insurance,Insurance, Pune,(5.3k),109,15.8k,510,353
JLL,Real Estate, Gurgaon / Gurugram,(5.2k),768,21.4k,580,393
L&T Technology Services,IT Services & Consulting, Bangalore / Bengaluru,(5.4k),611,38.7k,482,557
