Company,Industry,Headquarters,Reviews,Jobs,Salaries,Benefits,Interviews
Alldigi Tech,BPO, Chennai,(2.2k),21,6.9k,145,209
Dalmia Bharat Cement,Building Material, New Delhi,(2.3k),1,8k,247,149
Tractors and Farm Equipment,Industrial Machinery, Chennai,(2.2k),11,7.9k,298,114
DBS Bank,Banking, Hyderabad / Secunderabad,(2.1k),82,11.9k,200,173
Parle Agro,Beverage, Mumbai,(2.1k),3,6.3k,224,112
JCB,n/a,Pune,(2.1k),--,8.8k,269,142
Datamatics Global Services,IT Services & Consulting, Mumbai,(2.1k),71,11.3k,200,168
Intellect Design Arena,Software Product, Chennai,(2.1k),23,11.9k,243,166
Star Health & Allied Insurance,Insurance, Chennai,(2.1k),12,8.4k,176,122
Huawei Technologies,Telecom, Bangalore / Bengaluru,(2.1k),3,8.8k,307,116
Info Edge,Internet, Noida,(2.1k),471,10.8k,318,337
Movate,IT Services & Consulting, Chennai,(2.2k),68,13.7k,25,265
Gallagher,Insurance, Bangalore / Bengaluru,(2.1k),37,12.2k,137,231
Taj Hotels Resorts and Palaces,n/a,Mumbai,(2.1k),1,4.5k,185,129
Cybage,IT Services & Consulting, Pune,(2.1k),45,16.5k,299,198
Sonalika Tractors,Automobile, Hoshiarpur,(2.2k),--,8.3k,201,135
Aditya Birla Group,Building Material, Mumbai,(2.1k),1,9.5k,266,206
Biocon Limited,Biotechnology, Bangalore / Bengaluru,(2.1k),18,11.3k,29,162
Adani Power,Power, Mundra,(2.1k),--,8.1k,188,250
ICICI Securities,Financial Services, Mumbai,(2.1k),3,8.9k,195,171
Kansai Nerolac Paints,Chemicals, Mumbai,(2.2k),4,6.9k,204,158
Lava International,Consumer Electronics & Appliances, Noida,(2.1k),6,4.2k,317,72
IntouchCX,BPO, Hyderabad / Secunderabad,(2.1k),83,8.4k,166,203
3i Infotech,IT Services & Consulting, Mumbai,(2.1k),35,10.6k,163,148
V-Mart,Retail, Gurgaon / Gurugram,(2.1k),21,4k,221,156
Emcure Pharmaceuticals,n/a,Pune,(2k),54,7.9k,253,107
Delhi Public School,n/a,New Delhi,(2k),93,5.2k,274,121
Xoriant,IT Services & Consulting, Pune,(2k),43,11k,461,195
Mahindra Holidays & Resorts,Hospitality, Mumbai,(2k),57,5.9k,210,107
Cloudnine Hospital,Healthcare, Bangalore / Bengaluru,(2k),--,2.5k,127,344
Bharat Financial Inclusion,NBFC, Hyderabad / Secunderabad,(2k),18,4.1k,193,77
Unacademy,EdTech, Bangalore / Bengaluru,(2k),39,9.9k,167,212
Mahindra Rural Housing Finance,NBFC, Mumbai,(2.1k),28,4.7k,187,93
Simplex Infrastructures,Engineering & Construction, Kolkata,(2k),1,5k,294,70
Eureka Forbes,Consumer Electronics & Appliances, Mumbai,(2k),5,5.3k,237,73
Syngene International,Clinical Research, Bangalore / Bengaluru,(2k),38,11.6k,240,165
suzuki motor gujarat,Automobile, Ahmedabad,(2.1k),21,7.2k,208,184
Akums Drugs & Pharmaceuticals Limited,Pharma, Haridwar,(2.1k),17,5.8k,238,300
Lifestyle,Retail, Bangalore / Bengaluru,(2.1k),14,6.8k,296,68
Ola Cabs,Internet, Bangalore / Bengaluru,(2k),14,10k,247,144
Myntra,Internet, Bangalore / Bengaluru,(2k),6,9.5k,325,224
Cadila Pharmaceuticals,Pharma, Ahmedabad,(2k),16,7.1k,192,126
Cholamandalam MS General Insurance,Insurance, Chennai,(2.1k),1,5.5k,168,98
ESAF Small Finance Bank,Banking, Thrissur,(2.2k),33,6.8k,111,122
BT Group,Telecom, Gurgaon / Gurugram,(2.1k),2,10.2k,293,193
Sobha,Real Estate, Bangalore / Bengaluru,(2k),61,7.8k,223,144
Hero FinCorp,NBFC, New Delhi,(2k),16,5k,138,94
State Street Syntel,Financial Services, Pune,(2k),--,8.2k,290,77
Photon Interactive,IT Services & Consulting, Chennai,(2k),401,6.7k,187,114
Niva Bupa Health Insurance Company,Insurance, New Delhi,(2k),32,7.4k,129,132
Bureau Veritas,Other, Mumbai,(2k),25,7.5k,189,121
Care Health Insurance,Internet, New Delhi,(2.1k),52,7.7k,181,129
Extramarks Education,EdTech, Noida,(1.9k),17,7.6k,158,167
GlaxoSmithKline Pharmaceuticals,Pharma, Bangalore / Bengaluru,(1.9k),28,5.1k,127,106
Whirlpool,Consumer Electronics & Appliances, Pune,(1.9k),3,7.6k,220,99
Tata Advanced Systems,Defence & Aerospace, Bangalore / Bengaluru,(1.9k),14,10.8k,163,145
Indian Railways,Railways, New Delhi,(1.9k),--,3.2k,173,91
Laurus Labs,Pharma, Visakhapatnam,(1.9k),5,6.8k,241,119
Cisco,Hardware & Networking, Bangalore / Bengaluru,(1.9k),119,17.2k,249,380
Radisson Hotels,n/a,New Delhi,(2k),134,5.2k,323,82
Nokia Networks,Hardware & Networking, Chennai,(2k),--,10.9k,28,117
Canara HSBC Life Insurance,Insurance, Gurgaon / Gurugram,(2k),32,6.2k,177,106
RMSI,IT Services & Consulting, Hyderabad / Secunderabad,(1.9k),14,8k,192,159
Planet Spark,EdTech, Gurgaon / Gurugram,(2k),80,2.8k,229,455
Ninjacart,Internet, Bangalore / Bengaluru,(1.9k),9,5.4k,148,97
BHEL,Electrical Equipment, Bangalore / Bengaluru,(1.9k),--,5k,249,118
Sopra Steria,IT Services & Consulting, Noida,(1.9k),270,13.1k,271,133
Ambuja Cements,Building Material, Mumbai,(1.9k),--,5.7k,220,118
Shahi Exports,Fashion & Textile, Bangalore / Bengaluru,(1.9k),41,6.5k,245,105
Life Insurance Corporation of India,Insurance, New Delhi,(1.9k),1,4.1k,251,77
Pfizer,Pharma, Visakhapatnam,(1.9k),47,5.5k,288,75
Bharti AXA Life Insurance,Insurance, Mumbai,(1.9k),22,5.1k,177,127
upGrad,EdTech, Bangalore / Bengaluru,(1.9k),63,8.2k,149,202
Force Motors,Automobile, Pune,(1.9k),3,7.7k,180,125
Endurance Technologies,Auto Components, Aurangabad,(1.9k),9,7.2k,251,112
Renault-Nissan,n/a,Chennai,(1.9k),--,7.3k,281,111
ValueLabs,IT Services & Consulting, Hyderabad / Secunderabad,(1.9k),104,14.7k,299,195
Apollo Pharmacy,n/a,Hyderabad / Secunderabad,(1.9k),31,5.9k,132,136
Adani Wilmar,FMCG, Ahmedabad,(1.8k),10,6.1k,180,113
Coromandel International,Agro Chemicals, Visakhapatnam,(1.8k),15,6.8k,237,103
Ola Electric Mobility,Automobile, Bangalore / Bengaluru,(2.1k),--,7.9k,86,242
TCE,Engineering & Construction, Mumbai,(1.8k),324,8k,178,258
Raymond Lifestyle Limited,Fashion & Textile, Mumbai,(1.8k),2,6.5k,241,93
Bank of Baroda,Banking, Mumbai,(1.8k),--,6.3k,157,97
Reliance Trends,Retail, Bangalore / Bengaluru,(1.8k),--,4.2k,230,107
SBI Securities,Financial Services, Mumbai,(1.8k),81,6k,110,157
Sagility,BPO, Bangalore / Bengaluru,(2k),48,8.4k,65,190
Straive,Analytics & KPO, Chennai,(1.9k),51,9k,136,190
Aavas Financiers,NBFC, Jaipur,(1.9k),47,5.6k,139,98
Cargill,Food Processing, Bangalore / Bengaluru,(1.8k),184,7.5k,167,98
Meesho,Internet, Bangalore / Bengaluru,(1.8k),150,7.5k,312,351
Renault Nissan Technology & Business Centre India,Automobile, Chennai,(1.9k),70,13.5k,245,136
GVK Emergency Management and Research Institute,n/a,Lucknow,(1.9k),20,4.3k,192,96
Delphi TVS,Auto Components, Chennai,(1.8k),1,5.3k,214,89
Henry Harvin Education,n/a,Noida,(1.8k),27,773,134,14
Lodha Group,Real Estate, Mumbai,(1.8k),79,7.7k,205,136
SAP,Software Product, Bangalore / Bengaluru,(1.8k),227,15k,329,289
Bharat Petroleum,Oil & Gas, Mumbai,(1.8k),--,6.3k,199,153
Kia Motors,Automobile, Anantapur,(1.9k),20,7.3k,190,141
Brakes India,Auto Components, Chennai,(1.8k),2,6.6k,210,76
HSBC Electronic Data Processing,Banking, Bangalore / Bengaluru,(1.8k),--,8.8k,19,68
Exl India,Logistics, New Delhi,(1.9k),--,11.9k,180,109
Team Computers,IT Services & Consulting, New Delhi,(1.8k),174,7.9k,126,139
Tata Motors Finance,NBFC, Mumbai,(1.8k),2,4.3k,157,67
Power Mech Projects,Engineering & Construction, Hyderabad / Secunderabad,(1.8k),13,6.2k,167,101
Panasonic Life Solutions India,Consumer Electronics & Appliances, Haridwar,(1.8k),15,5.9k,122,77
ITC Hotels,n/a,Bangalore / Bengaluru,(1.7k),--,5.1k,212,88
BNP Paribas,Financial Services, Mumbai,(1.7k),40,15.1k,194,187
CitiusTech,IT Services & Consulting, Mumbai,(1.7k),14,12.9k,181,280
CAMS,Financial Services, Chennai,(1.8k),14,7.7k,61,121
YASH Technologies,IT Services & Consulting, Hyderabad / Secunderabad,(1.7k),442,15.3k,188,152
Senco Gold,Jewellery, Kolkata,(1.7k),7,1.3k,57,567
Novartis,Pharma, Hyderabad / Secunderabad,(1.7k),273,8.7k,258,148
Kotak Securities,Financial Services, Mumbai,(1.7k),12,8.8k,161,119
Aditya Birla Capital,Financial Services, Mumbai,(1.9k),1,8.1k,167,162
Allstate,Insurance, Pune,(1.8k),50,11.1k,219,139
Google,Software Product, Bangalore / Bengaluru,(1.7k),283,20.1k,159,873
Poonawalla Fincorp,NBFC, Pune,(1.8k),11,4.8k,137,65
Saint-Gobain,Engineering & Construction, Mumbai,(1.7k),37,9.9k,261,176
Microsoft Corporation,Software Product, Bangalore / Bengaluru,(1.8k),--,22.3k,236,567
Sify Technologies,IT Services & Consulting, Chennai,(1.8k),28,9.2k,163,126
Daikin,Consumer Electronics & Appliances, Neemrana,(1.7k),6,6.6k,152,160
Future Retail,Retail, Mumbai,(1.7k),--,4.5k,259,55
Foxconn,Electronics Manufacturing, Chennai,(1.7k),60,8.1k,226,170
FirstCry,Internet, Pune,(1.7k),26,8k,90,182
Reliance General Insurance,Insurance, Mumbai,(1.7k),4,6.6k,143,84
L&T Energy Hydrocarbon,Engineering & Construction, Vadodara,(1.7k),--,7.9k,211,98
Future Generali India Life Insurance,Insurance, Mumbai,(1.8k),150,6.5k,167,102
Morgan Stanley,Financial Services, Mumbai,(1.7k),4,21.5k,180,299
AECOM,Engineering & Construction, Gurgaon / Gurugram,(1.7k),136,6.1k,256,124
Crisil,Analytics & KPO, Mumbai,(1.7k),505,11.4k,251,194
Parle Products,FMCG, Mumbai,(1.7k),13,3.4k,215,97
IDBI Bank,Banking, Mumbai,(1.7k),--,5.6k,142,71
Physicswallah,EdTech, Noida,(1.8k),33,5.8k,34,220
Star Union Dai-ichi Life Insurance,Insurance, Mumbai,(1.8k),44,4.7k,113,95
SBI General Insurance,Insurance, Mumbai,(1.8k),10,6k,140,108
Mercedes-Benz Research and Development India,IT Services & Consulting, Bangalore / Bengaluru,(1.7k),2,15.5k,240,188
Spark Minda,Auto Components, Pune,(1.8k),13,6.2k,50,130
Gabriel India,Auto Components, Pune,(1.7k),1,5.3k,265,105
NCR Corporation,IT Services & Consulting, Hyderabad / Secunderabad,(1.7k),252,8.5k,191,133
SGS,Clinical Research, Mumbai,(1.7k),78,5.8k,193,99
Adani Group,Power, Ahmedabad,(1.8k),129,8.9k,115,213
Lucas-TVS,Auto Components, Chennai,(1.7k),3,5.6k,233,77
Microland,IT Services & Consulting, Bangalore / Bengaluru,(1.7k),414,10.4k,170,136
Philips,Consumer Electronics & Appliances, Bangalore / Bengaluru,(1.7k),77,9.9k,200,161
Infinite Computer Solutions,IT Services & Consulting, Bangalore / Bengaluru,(1.7k),195,12.7k,114,152
R.R. Donnelley,Marketing & Advertising, Chennai,(1.6k),12,9.2k,301,110
Uflex,Packaging, Noida,(1.6k),65,6.3k,127,113
Paisabazaar.com,Internet, Gurgaon / Gurugram,(1.6k),46,6.6k,109,146
American Broadcasting Company,n/a,Mumbai,(1.6k),18,24.1k,9,554
Dhani Loans and Services,NBFC, Gurgaon / Gurugram,(1.7k),15,4.8k,53,70
KENT RO Systems,Consumer Electronics & Appliances, Noida,(1.7k),15,4.4k,117,86
Dr Lal PathLabs,Healthcare, New Delhi,(1.6k),51,4.2k,204,136
Sterling & Wilson,Engineering & Construction, Mumbai,(1.6k),14,7.2k,209,67
Thomson Reuters,Software Product, Bangalore / Bengaluru,(1.6k),218,9.8k,246,121
Safexpress,Logistics, New Delhi,(1.6k),--,5.4k,151,110
Iris Software,IT Services & Consulting, Noida,(1.6k),49,6.9k,312,169
JK Tyres,Auto Components, Chennai,(1.7k),3,6.4k,200,98
AXA Business Services,Insurance, Pune,(1.6k),9,7.1k,179,86
TaskUs,BPO, Indore,(1.8k),104,7.3k,134,181
Kalyan Jewellers,Jewellery, Thrissur,(1.6k),17,1.4k,71,61
GAO Tek,Electrical Equipment, New York,(1.6k),--,218,93,228
NTPC,Power, New Delhi,(1.6k),--,3.8k,191,161
Medi Assist India,Insurance, Bangalore / Bengaluru,(1.6k),45,6.7k,148,124
Aragen Life Sciences,Clinical Research, Hyderabad / Secunderabad,(1.6k),55,6k,331,109
CMS Infosystems,Other, Mumbai,(1.6k),4,4.3k,109,61
HTC Global Services,IT Services & Consulting, Chennai,(1.6k),85,11.8k,118,142
PI Industries,Agro Chemicals, Bharuch,(1.6k),12,6.3k,181,116
Hindustan Aeronautics,Defence & Aerospace, Bangalore / Bengaluru,(1.6k),--,4.1k,181,75
MetLife,Insurance, Noida,(1.6k),112,7.8k,252,92
Altruist Technologies,BPO, Bangalore / Bengaluru,(1.6k),6,7.4k,87,134
Honeywell Automation,Industrial Automation, Pune,(1.7k),1,11k,182,111
Trident Group,Fashion & Textile, Barnala,(1.6k),10,5k,144,121
Nuvoco Vistas,Building Material, Kolkata,(1.7k),19,6.1k,144,100
Haier Appliances India,Consumer Electronics & Appliances, Pune,(1.6k),17,6.3k,186,132
Angel One,FinTech, Mumbai,(1.6k),25,6.8k,169,143
TVS Sundram Fasteners,Auto Components, Chennai,(1.6k),1,6.4k,217,74
Vedantu,EdTech, Bangalore / Bengaluru,(1.6k),3,9.1k,163,187
Torrent Power,Power, Ahmedabad,(1.6k),45,6.9k,170,132
Indian Navy,Defence & Aerospace, Mumbai,(1.5k),--,3.4k,256,24
